M_number,name,ra,dec,type,distance_ly,apparent_magnitude,x,y,z,display_name,description
M 76,M  76,25.58189905342,51.57542638057,PN,4.683600159999999,17.479999542236328,2.625434928951746,1.2568779752273345,3.6692587327661417,M  76,Deep sky object
M 76,M  76,25.58189905342,51.57542638057,PN,2433.12376,17.479999542236328,1363.9097889958239,652.9463576041725,1906.1748012838038,M  76,Deep sky object
M103,M 103,23.3379,60.65370000000001,OpC,6722.075159999999,7.400000095367432,3024.8686470906246,1305.0869310286525,5859.454942824918,M 103,Deep sky object
M103,M 103,23.3379,60.65370000000001,OpC,8160.423119999999,7.400000095367432,3672.111283367657,1584.3413398513771,7113.224777752521,M 103,Deep sky object
M103,M 103,23.3379,60.65370000000001,OpC,7175.432,7.400000095367432,3228.8748294999386,1393.1058943537291,6254.634097144503,M 103,Deep sky object
M103,M 103,23.3379,60.65370000000001,OpC,7475.495519999999,7.400000095367432,3363.9005041881173,1451.3630499357937,6516.191523025091,M 103,Deep sky object
M103,M 103,23.3379,60.65370000000001,OpC,7155.862639999999,7.400000095367432,3220.068807237666,1389.306514641855,6237.576004152291,M 103,Deep sky object
M 82,M  82,148.96845833333333,69.67970277777778,AGN,10.9914572,8.40999984741211,-3.2707077487708536,1.9676908944130984,10.30741455194298,M  82,Deep sky object
M 82,M  82,148.96845833333333,69.67970277777778,AGN,12.6874684,8.40999984741211,-3.775386689234012,2.271310854381885,11.897876144527654,M  82,Deep sky object
M 82,M  82,148.96845833333333,69.67970277777778,AGN,11.774231599999998,8.40999984741211,-3.50363649052308,2.107823183629461,11.04147374852052,M  82,Deep sky object
M 82,M  82,148.96845833333333,69.67970277777778,AGN,11.787603996,8.40999984741211,-3.5076156898613484,2.1102171102369076,11.054013926462053,M  82,Deep sky object
M 82,M  82,148.96845833333333,69.67970277777778,AGN,11.774231599999998,8.40999984741211,-3.50363649052308,2.107823183629461,11.04147374852052,M  82,Deep sky object
M 82,M  82,148.96845833333333,69.67970277777778,AGN,11.5133068,8.40999984741211,-3.425993576605672,2.0611124205573406,10.796787349661342,M  82,Deep sky object
M 82,M  82,148.96845833333333,69.67970277777778,AGN,11.5133068,8.40999984741211,-3.425993576605672,2.0611124205573406,10.796787349661342,M  82,Deep sky object
M 82,M  82,148.96845833333333,69.67970277777778,AGN,12.6874684,8.40999984741211,-3.775386689234012,2.271310854381885,11.897876144527654,M  82,Deep sky object
M 82,M  82,148.96845833333333,69.67970277777778,AGN,12.720083999999998,8.40999984741211,-3.7850920534736883,2.2771496997659,11.928461944385049,M  82,Deep sky object
M 82,M  82,148.96845833333333,69.67970277777778,AGN,15.949028399999998,8.40999984741211,-4.745923113201624,2.8551953927833975,14.956456130267409,M  82,Deep sky object
M 82,M  82,148.96845833333333,69.67970277777778,AGN,16.960112,8.40999984741211,-5.046789404631585,3.036199599687867,15.904615925846732,M  82,Deep sky object
M 81,M  81,148.88821939854,69.06529514038,Sy2,15.981644,6.940000057220459,-4.888937121369774,2.9505666026078767,14.926667259961402,M  81,Deep sky object
M 81,M  81,148.88821939854,69.06529514038,Sy2,11.0566884,6.940000057220459,-3.3823462941721503,2.0413103638450414,10.326816736993706,M  81,Deep sky object
M 81,M  81,148.88821939854,69.06529514038,Sy2,11.8394628,6.940000057220459,-3.6218044388923025,2.185827911727876,11.057918806869365,M  81,Deep sky object
M 81,M  81,148.88821939854,69.06529514038,Sy2,12.6874684,6.940000057220459,-3.8812174290058006,2.3423885886009472,11.849946049234665,M  81,Deep sky object
M 81,M  81,148.88821939854,69.06529514038,Sy2,11.3176132,6.940000057220459,-3.4621656757455344,2.089482879805986,10.570517426952259,M  81,Deep sky object
M 81,M  81,148.88821939854,69.06529514038,Sy2,11.578537999999998,6.940000057220459,-3.5419850573189176,2.137655395766931,10.81421811691081,M  81,Deep sky object
M 81,M  81,148.88821939854,69.06529514038,Sy2,11.578537999999998,6.940000057220459,-3.5419850573189176,2.137655395766931,10.81421811691081,M  81,Deep sky object
M 81,M  81,148.88821939854,69.06529514038,Sy2,12.067772,6.940000057220459,-3.6916463977690133,2.227978863193703,11.2711569105831,M  81,Deep sky object
M 81,M  81,148.88821939854,69.06529514038,Sy2,11.7334621,6.940000057220459,-3.589377815128115,2.1662578271187423,10.958915401573703,M  81,Deep sky object
M 81,M  81,148.88821939854,69.06529514038,Sy2,12.067772,6.940000057220459,-3.6916463977690133,2.227978863193703,11.2711569105831,M  81,Deep sky object
M 81,M  81,148.88821939854,69.06529514038,Sy2,11.774231599999998,6.940000057220459,-3.601849593498956,2.1737847827376395,10.996993634379725,M  81,Deep sky object
M 81,M  81,148.88821939854,69.06529514038,Sy2,11.774231599999998,6.940000057220459,-3.601849593498956,2.1737847827376395,10.996993634379725,M  81,Deep sky object
M 81,M  81,148.88821939854,69.06529514038,Sy2,11.8720784,6.940000057220459,-3.631781861588975,2.191849476222994,11.088381393114185,M  81,Deep sky object
M 81,M  81,148.88821939854,69.06529514038,Sy2,14.024708,6.940000057220459,-4.290291759569394,2.5892727329007896,13.098912085272252,M  81,Deep sky object
M 81,M  81,148.88821939854,69.06529514038,Sy2,12.2960812,6.940000057220459,-3.761488356645724,2.2701298146595295,11.484395014296833,M  81,Deep sky object
M 81,M  81,148.88821939854,69.06529514038,Sy2,11.741616,6.940000057220459,-3.5918721708022834,2.1677632182425217,10.966531048134907,M  81,Deep sky object
M 81,M  81,148.88821939854,69.06529514038,Sy2,13.4050116,6.940000057220459,-4.100720728332607,2.4748630074935454,12.520122946620686,M  81,Deep sky object
M102,M 102,226.6231708333333,55.76330833333333,SyG,47.944932,9.890000343322754,-18.525872022339055,-19.606437051283635,39.63705584993153,M 102,Deep sky object
M102,M 102,226.6231708333333,55.76330833333333,SyG,50.2932552,9.890000343322754,-19.433261672412804,-20.566752335428138,41.57846266707103,M 102,Deep sky object
M102,M 102,226.6231708333333,55.76330833333333,SyG,47.143892864,9.890000343322754,-18.216351330591678,-19.27886283769212,38.974820413418385,M 102,Deep sky object
M102,M 102,226.6231708333333,55.76330833333333,SyG,48.0101632,9.890000343322754,-18.55107729039666,-19.633112475843202,39.69098381707429,M 102,Deep sky object
M102,M 102,226.6231708333333,55.76330833333333,SyG,48.0101632,9.890000343322754,-18.55107729039666,-19.633112475843202,39.69098381707429,M 102,Deep sky object
M102,M 102,226.6231708333333,55.76330833333333,SyG,48.597244,9.890000343322754,-18.7779247029151,-19.87319129687933,40.17633552135917,M 102,Deep sky object
M102,M 102,226.6231708333333,55.76330833333333,SyG,50.064946,9.890000343322754,-19.34504323421119,-20.473388349469644,41.38971478207136,M 102,Deep sky object
