source_id,ra,dec,parallax,pmra,pmdec,radial_velocity,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,teff_gspphot,logg_gspphot,mh_gspphot,x,y,z,gaia_id,star_names,simbad_names,main_id,object_type,has_common_name,display_name,star_type,distance_ly
156917493449670656,73.94104529388767,30.551085459021337,6.41270938818611,4.018441240783822,-24.026533959852475,,7.1112337,7.16187,6.891851,1.3687904,,,,121.16281422056083,420.90988882436426,258.52907321262774,1.5691749344967066e+17,HIP 22910,HIP 22910|Gaia DR3 156917493449670656|WISEA J045545.84+303304.0|TIC 96680681|2MASS J04554582+3033043|PLX 1098|XEST 26-043|[GBA2007] 2225|AAVSO 0449+30B|AG+30  462|BD+30   741|EM* MWC   93|FMC  5|GC  5998|GCRV  2908|GEN# +1.00031293|GSC 02387-00812|HBC  78|HD  31293|HIC  22910|IRAS 04525+3028|JP11   947|PPM  69756|RAFGL 5130|SAO  57506|SKY#  7693|SSV LDN 1517  1|SV* HV  3554|TD1  3698|TYC 2387-812-1|UBV M  10443|V* AB Aur|VDB  31|[KW97] 19-56|JCMTSE J045545.8+303305|JCMTSF J045545.8+303305|PLX 1098.00|PSCz P04525+3028|AKARI-IRC-V1 J0455458+303303|AKARI-FIS-V1 J0455460+303320|GBS-VLA J045545.85+303304.0|WISE J045545.83+303304.8|Gaia DR1 156917489152834688|uvby98 100031293|WEB  4447|Gaia DR2 156917493449670656,V* AB Aur,Ae*,True,HIP 22910,Unknown,508.6087334643056
164800235906366976,63.92834129141519,29.166539480549527,6.247424479157417,12.103513145729982,-18.144868493928115,13.350007,13.981357,15.594889,12.738243,1.3550289,,,,200.35276115770156,409.4834298684344,254.42814001324984,1.6480023590636698e+17,IRAS 04125+2902 b,TOI-6963.01|TOI-6963b|NAME IRAS 04125+2902 b,NAME IRAS 04125+2902 b,Pl,True,IRAS 04125+2902 b,Unknown,522.0647341766479
178924390478792320,69.55234508139512,39.4579936460994,8.838526404242616,19.82611980375033,-70.76231775788699,33.25154,14.290816,15.511435,13.194781,1.1511657,3590.548,4.5342,-0.5235,99.53514369047173,266.9620963743964,234.5143875210244,1.7892439047879232e+17,TIC 662037581,TIC 662037581|Gaia DR3 178924390476838784,Gaia DR3 178924390476838784,PM*,True,TIC 662037581,M-type,369.01626479663
181908842994567936,78.29559292626563,33.317946334241604,7.379170208091291,10.477254011320916,-49.62042234593807,39.899326,8.461335,8.669099,8.102839,0.9919734,6580.7725,4.1002,0.1084,74.9267109225266,361.6673071823483,242.78131280240757,1.8190884299456794e+17,TOI-1682.01,TOI-1682.01|TOI-1682b|KELT-7b|HD  33643b,HD  33643b,Pl,True,TOI-1682.01,F-type,441.99549651581225
224870885460646016,57.00186971669163,40.53073384375664,19.3246930658357,52.74173147748,21.74006677289353,-10.179395,7.117993,7.407843,6.6631074,1.3454117,5902.0483,4.0681,0.0357,69.86282612808395,107.58700428500097,109.68059425832581,2.24870885460646e+17,HD  23596b,HD  23596b,HD  23596b,Pl,True,HD  23596b,G-type,168.77680741880147
228532602782156288,66.70686180605233,42.90869537535159,14.78362816879885,133.88618166983866,-177.6788997205149,47.2654,7.5266523,7.828875,7.0524163,1.0176094,5779.5303,4.0917,-0.0879,63.89866856696296,148.419973958182,150.20497697718628,2.285326027821563e+17,HD  27969b,HD  27969b,HD  27969b,Pl?,True,HD  27969b,G-type,220.6197262782616
287622247440034688,82.88865417178877,64.31836242446292,14.077212171681456,-29.31838176313589,-92.72610492759136,-12.616855,7.6097274,7.8965945,7.1513658,1.1217192,5867.9644,4.0799,-0.4007,12.43029376783,99.63549668578594,208.8034106592674,2.876222474400347e+17,HD  35759b,HD  35759b,HD  35759b,Pl,True,HD  35759b,G-type,231.69076094208089
289464440515102976,21.186177146844415,21.51306430831705,5.159672942286946,-4.285339357201945,3.462426277513736,12.751384,11.799584,12.199457,11.23443,1.0857574,5346.0684,4.497,-0.0027,548.3394307532544,212.53467085927133,231.80881058622754,2.89464440515103e+17,TOI-4515,TOI-4515|Gaia DR3 289464440515102976|TIC 456862677|TYC 1203-1161-1|2MASS J01244468+2130469|Gaia DR1 289464440515102976|Gaia DR2 289464440515102976,TOI-4515,*,True,TOI-4515,G-type,632.125337493652
294517800251711616,19.16610369188811,25.33102149294284,41.87582613398647,429.1962642554128,-102.68119327212996,-23.098326,9.477474,10.309335,8.584224,1.056841,,,,66.49566635113597,23.112140495273668,33.32351273432729,2.945178002517116e+17,,,,Star,False,,Unknown,77.88646341123558
317350357498173312,21.53788528589299,34.5793271369492,26.203632010753925,236.27116499256087,-84.63157204169093,19.083519,6.237758,6.4662137,5.845152,1.1353099,6314.975,4.0353,-0.6357,95.32534868588937,37.62248401262521,70.64240771531331,3.173503574981733e+17,HD   8673Ab,HD   8673Ab|HD   8673b,HD   8673Ab,Pl,True,HD   8673Ab,F-type,124.46976810930109
