source_id,ra,dec,parallax,phot_g_mean_mag,ruwe,teff_gspphot
4267180339403392768,286.7169128963743,0.27619460064099405,1.08492385925788,15.244129,1.0337826,5217.329
1937745177867542656,348.43498221430735,43.94070420401419,1.0420076403778737,20.531225,1.0514224,
6018228919573319936,245.57783749796826,-39.059396866729756,2.37956349674459,20.33379,0.99962103,
4105846867946005248,283.2745199738648,-11.800951575965422,1.6528999967565479,20.509544,1.0165906,
962689676422728448,92.85006343637822,44.10010491839422,2.2888466324270924,20.584726,1.0384653,
4070372705802691328,268.95959924766146,-21.804991391102355,1.1737305467812362,19.489021,1.1504321,
4685892195739004032,14.53973645600609,-73.37471941515396,1.713027448003152,20.702713,1.0285934,
6682108641648473088,310.79255214136765,-38.04215062019518,1.504572470498728,19.981865,0.9649633,
4260020938120094208,282.3929617569091,-1.3496354880475816,1.9586565307983375,20.317146,1.0330098,
3586362911238437248,171.80987737943448,-12.086809574893953,7.191948381963115,13.987773,1.2088606,4150.484
6125426454266613760,183.0467595501987,-51.811184221276086,1.892441632423168,20.304266,1.0148615,
4080999038996262528,288.9434898140522,-22.130211424069127,1.802424807424082,20.167381,1.1643414,
5269872684045997824,124.0652170609226,-70.07356881528705,1.077667289160373,20.345463,0.91631067,
5872626607677884544,209.2906388593552,-55.3010836335941,1.421545629986179,20.540644,1.0100713,
4134350366844894720,259.25161900483334,-18.891918473421743,5.1149087838080085,20.60732,1.0974784,
2128624652762622080,294.2962728879645,47.56515893088721,1.1244227837856247,18.168076,1.0983074,3558.9136
4043507028410549504,268.00510636956784,-32.47133255346489,3.8613611538338306,20.189976,1.1758345,
5221499841779262720,128.01290072580605,-71.01560428735992,1.6556859739351941,19.112696,0.9943759,
4111699671408171264,261.6840457486039,-22.77489164807797,1.1398923056466874,20.701689,1.0792904,
5625161514166949120,132.7683664072431,-37.46155273779718,1.1092313782146541,18.769066,1.1339003,3560.7605
5589736971804134272,112.09335745112445,-35.54390564261067,2.156706531149021,20.867603,1.044898,
6068055453656132736,198.6858034678276,-54.101027866449975,1.351778800471781,13.768363,1.012473,
1829235337399383680,306.1831568917606,22.315786983741443,1.4899960905570462,20.27032,1.0605568,
1972536268403147904,320.9940377303174,47.55436717137782,1.1748024357383031,19.010424,1.1633055,
459196157877380864,35.17909817881332,59.095633229233115,1.3559053387131785,20.879986,1.0793686,
4533489271155414400,285.64750323897437,23.87108985815203,1.412840338818218,20.054964,1.0205832,
