# Source: Gaia DR3, Downloaded: 2025-07-22T12:48:06.116544 UTC
source_id,ra,dec,parallax,pmra,pmdec,radial_velocity,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,teff_gspphot,logg_gspphot,mh_gspphot
44062348664673152,55.80935977114018,16.634436164118355,3.4731072866107295,21.480581243306194,-25.159729158115653,8.749644,13.134838,13.664177,12.452651,0.9386688,4894.8535,4.4297,-0.1568
47908509057301120,66.23636757327347,18.8273598171647,2.004365647842417,25.916602033412484,-13.680667775342755,13.971807,13.6941,14.388312,12.883169,1.0121961,,,
49842515651843200,58.2691801294634,17.906944380251698,4.04610861045057,4.163743755221923,-30.64331178352015,-27.44341,12.639467,13.114341,12.00333,1.0145965,5193.0913,4.4851,-0.0928
61607255708760960,52.34205731811381,22.29934714176724,2.9986649409701274,16.5825905828725,-14.084565917606849,36.098442,13.195046,13.749495,12.487185,1.0735118,5523.48,4.3802,-0.0163
95652018353917056,26.232401137403862,20.082682764562314,30.153469786700956,-43.35720974527688,-104.9361893289388,-46.09077,6.1095624,6.4575686,5.588483,1.303392,5515.974,4.0895,-0.0748
102461087706561024,35.21356269596189,23.520428744370637,16.44995638602267,42.11648141533607,-86.6086786565355,-3.4711087,13.118971,14.40397,11.992828,1.1400843,,,
123376685084303360,47.368947889327416,30.67337557168549,7.699678840356039,3.3337671974409737,-44.43342847178427,5.2108884,11.559401,12.072291,10.873151,3.5986927,4864.9565,4.5225,0.1002
149629483705467008,65.89749725525944,25.05066819065253,7.835424589844414,6.9006645640752335,-21.252239670152928,,15.216642,18.033018,13.718248,1.152283,,,
150054788545735424,62.67042446994373,24.401652798725866,5.643499489174777,16.349513818525022,-22.063315435528157,32.76917,12.194623,12.744655,11.489968,1.3586797,5338.7886,4.4865,-0.0648
151374202498079872,67.4231683715687,26.549386841787584,7.4935948412810784,6.603307555678407,-20.870573377409652,,12.455742,13.473371,11.421022,1.5009322,,,
156917493449670656,73.94104529388767,30.551085459021337,6.41270938818611,4.018441240783822,-24.026533959852475,,7.1112337,7.16187,6.891851,1.3687904,,,
164800235906366976,63.92834129141519,29.166539480549527,6.247424479157417,12.103513145729982,-18.144868493928115,13.350007,13.981357,15.594889,12.738243,1.3550289,,,
178924390478792320,69.55234508139512,39.4579936460994,8.838526404242616,19.826119803750334,-70.76231775788699,33.25154,14.290816,15.511435,13.194781,1.1511657,3590.548,4.5342,-0.5235
181908842994567936,78.29559292626563,33.317946334241604,7.379170208091291,10.477254011320916,-49.62042234593807,39.899326,8.461335,8.669099,8.102839,0.9919734,6580.7725,4.1002,0.1084
224870885460646016,57.00186971669163,40.53073384375664,19.3246930658357,52.74173147748,21.74006677289353,-10.179395,7.117993,7.407843,6.6631074,1.3454117,5902.0483,4.0681,0.0357
228532602782156288,66.70686180605233,42.90869537535159,14.78362816879885,133.88618166983866,-177.6788997205149,47.2654,7.5266523,7.828875,7.0524163,1.0176094,5779.5303,4.0917,-0.0879
287622247440034688,82.88865417178877,64.31836242446292,14.077212171681456,-29.31838176313589,-92.72610492759135,-12.616855,7.6097274,7.8965945,7.1513658,1.1217192,5867.9644,4.0799,-0.4007
289464440515102976,21.186177146844418,21.513064308317052,5.159672942286946,-4.285339357201945,3.462426277513736,12.751384,11.799584,12.199457,11.23443,1.0857574,5346.0684,4.497,-0.0027
294517800251711616,19.16610369188811,25.331021492942842,41.87582613398647,429.19626425541276,-102.68119327212995,-23.098326,9.477474,10.309335,8.584224,1.056841,,,
317350357498173312,21.53788528589299,34.5793271369492,26.203632010753925,236.27116499256087,-84.63157204169093,19.083519,6.237758,6.4662137,5.845152,1.1353099,6314.975,4.0353,-0.6357
323386882492982144,21.871101210850217,38.968113285754754,1.448878118737993,-0.051216773121520065,-3.140791440702551,-18.835535,13.509504,13.814512,13.02158,1.5133419,5744.211,4.3185,-0.4023
325494788018024576,32.41739676487536,32.3164554232153,2.045034322738423,2.3060739049650483,4.934666606076375,25.649982,7.025605,7.8236356,6.154105,0.99387044,,,
343449606741529728,27.162822304521388,37.95275035937315,8.604923283543057,112.49741190563239,-26.974570825252204,34.936577,5.6775155,6.1679525,5.016752,0.91184205,4892.011,2.5662,-0.278
353030751066772480,32.94710393641228,45.92421765867808,18.741585927135922,278.03681798471143,-7.0810094544947475,-6.719056,9.419496,9.87306,8.802649,0.9283825,4971.86,4.5033,-0.1173
363012289421389056,14.48696630960284,34.9853241664285,4.6211161220925785,120.17940534620118,-45.94066976960466,12.071208,7.3221335,7.8116455,6.664321,0.96529746,,,
382111248777193216,7.053937598100488,42.06134414126365,2.6863013751467752,0.8661032896772272,-6.773218428243758,-9.334558,12.511989,12.887348,11.975026,0.94143426,5548.5527,4.3076,0.1474
439327810962983424,45.582575680475415,49.74414153557782,2.0527815839969636,19.28857476881582,-4.476747629253742,19.000668,9.46949,10.143768,8.675311,1.0207417,4986.678,2.7365,0.1234
457317534880081152,38.36916388723121,56.025707971568316,1.4780516435938256,-3.371221912518547,0.0009168117345027887,-8.473836,12.21276,12.461465,11.815224,0.95150846,,,
473934011733049856,60.42470678480174,60.89136061012333,5.846614044616531,41.023329169513666,-51.29882062405163,,15.638797,17.00041,14.489408,1.0015675,3484.4924,4.5854,-0.3771
474143193821024256,56.336991465871,60.350916350598176,12.701440179360246,-55.03818411066203,-4.836547438541272,-14.597976,7.891202,8.164307,7.4497914,1.003099,5981.1396,4.1137,-0.3511
497750842338402560,77.61288703605616,70.39107862466173,2.9362057943572624,19.686266929429404,-3.005372443577678,-40.492912,11.245597,11.533856,10.796515,1.0931542,6168.0044,4.1724,-0.2678
502835190261902464,84.93199619329634,75.04399213462806,4.708449554350161,-6.701219187853898,26.588747412514962,-5.3149304,5.495653,6.4364963,4.5324793,1.026734,,,
522863309964987520,15.668950820681058,62.345451222893885,101.42379529598418,731.0879947758527,90.53173556175588,-6.2840915,8.671337,9.792029,7.6165996,1.0359348,3594.5579,4.6423,-0.1073
534988616816537728,21.921767121264168,72.29662042879961,22.225693359824277,71.628233181739,40.44953197736995,-59.98826,12.127464,13.30644,11.046349,1.0838809,,,
541725187117160960,43.434443314709966,69.10134294049459,11.343504869425452,-46.467673113152856,-14.489847734195212,-24.96772,8.788493,9.126472,8.277758,0.9858769,5660.171,4.0903,-0.14
545560867790611072,42.436652471054394,71.75308362260229,12.91420597983332,90.84790827576742,-33.01315728616289,-3.2860105,8.043712,8.333246,7.5877314,0.90149856,5905.5615,4.1689,-0.081
547375547309768064,48.78132631689635,73.86801083856723,3.7860104826724585,-6.910682414574708,-30.15282712612554,-35.067604,6.026782,6.822777,5.1507726,1.0722696,,,
558504529130235136,29.70780813355558,73.15212922447932,4.297230956310002,-57.890154751548906,-57.45824407209815,-86.964745,6.474594,7.132327,5.685322,0.96547866,4953.957,2.3671,-0.0384
581100382135253760,132.30154349017843,3.485022545525026,32.977696569279644,-148.23814037425984,60.20908036764044,10.064948,7.295366,7.632604,6.7820992,1.0039229,5556.243,4.421,-0.2192
601159910928534144,126.89682301804164,11.667411233728535,6.3006485870066715,-24.716443820214245,-13.953095385324016,10.923531,9.518891,9.771983,9.104217,1.0586965,6142.8364,4.1014,-0.2488
601314254872894080,129.1299193747396,10.14721518308137,10.99661259626832,0.35903505847894435,-16.70059880480167,-7.5680265,14.357374,15.613251,13.2478,1.0070996,3607.449,4.7787,-0.1596
601321985813952000,128.92568723948528,10.206584685849096,1.8964229211067094,-9.04281616421791,-13.757474674300557,-4.167899,13.205524,13.547733,12.700128,0.8653598,5638.7524,4.4116,0.0516
601480723509077632,130.18003679221718,10.98295117766228,6.470860684256565,-65.13016264447343,1.5443933714256806,22.550472,11.720228,12.161187,11.112206,1.53801,,,
604215144503584640,137.20147861493518,11.862277031818937,45.862538381328385,-458.50326835652936,192.57431795078145,22.931599,13.770329,15.535661,12.509058,1.1779996,,,
604743013163971072,133.70948878498584,11.848271253180394,3.072829971132402,-8.161990738009544,0.12665482791526628,10.367881,13.551785,14.025674,12.92249,1.001863,4937.0513,4.5294,0.0
604922096120852864,132.7531291445454,11.88651239109607,1.0858336353173075,-10.843966615047998,-2.8265191406257495,36.435135,14.606981,14.972596,14.077296,0.93340105,5475.723,4.3946,-0.3723
606477252238780160,140.33907970233588,14.367867248047087,9.259962146553997,-33.296927779376944,-14.040288961491468,8.396215,9.313929,9.624159,8.837712,1.1072892,5817.8135,4.268,0.1476
607158571490718208,135.88326439179704,14.25049791370382,8.010554452529314,-15.658606685557928,-10.645867686916713,,16.451405,18.07319,15.223667,0.9923033,3326.87,4.8936,-0.118
607937055787752576,137.37949847708393,16.355830338325553,2.743127748647158,-1.2153628162080055,-15.38494343225953,29.555994,12.635032,12.947904,12.161257,0.9475625,5737.1733,4.4353,-0.4678
608395625151767680,131.2665571363966,13.54972901171613,3.5549161814529935,-11.789633054100605,-22.76717981287653,16.983166,13.454036,14.0006275,12.764975,0.96823364,4727.921,4.5488,0.3492
646125297938578944,142.74340481119165,26.539989710847316,4.474305978539132,-7.977712578532761,-39.401539181836014,-41.166607,9.590924,9.886953,9.130393,0.94819933,6011.8174,3.9685,-0.0912
650778499868023296,126.55350240116964,12.281847963793613,2.4527786562448615,15.55741818042906,-21.630074936063732,-14.79723,13.187856,13.531894,12.678745,1.0446514,5704.0854,4.5556,-0.1716
651522834880015872,129.14053555044964,14.461880913430821,13.217501993641356,89.72214551306224,-12.271022762125265,-33.727615,10.134546,10.551556,9.549598,0.88111395,5295.9043,4.5952,-0.0688
651935220461650560,125.61740338196465,13.735309027504545,4.390696748199278,-25.38131831493755,-1.954711045569795,30.334816,9.21627,9.342972,8.979262,0.94404626,7346.182,4.1431,-0.1574
659701895721176192,129.7768880269978,19.010003884252804,3.2567138510070084,-32.42894701628056,-5.351914535668001,-8.217874,13.134203,13.592823,12.516667,0.9475746,,,
659826037455527040,132.6211760661517,17.542383471753087,2.3729160267293268,12.090451017205782,-12.685884509024522,-57.946804,13.655427,14.037356,13.105305,0.96787333,5426.2695,4.5372,-0.3067
661004400386393984,130.3439043671192,18.933818886581772,5.396196452308119,-36.58363859530676,-12.452091663796445,33.04468,12.648937,13.186989,11.96533,0.9939663,4843.326,4.6328,0.2957
661192902209491456,130.02669276034126,19.092323666762,12.414316137371697,-15.913523852430412,-129.09742486821213,43.277393,14.957371,16.418316,13.774521,1.0953671,,,
661598415839633024,132.16987876314454,20.455014132020395,8.063201387230484,-5.004520698961297,-15.523454228894394,-8.000604,11.808092,12.328792,11.132129,1.2049792,4802.8735,4.5772,-0.0121
662078902422542336,126.93666036517449,17.579324705131118,5.907005119900294,-13.8660987655951,-14.551553983912198,29.79687,12.914007,13.520602,12.175219,0.9702165,4612.158,4.6194,0.0743
663843343706623232,126.47621460733492,20.359331037918224,13.829524270659341,-22.1216531657616,-53.355303080177634,-15.132265,12.35919,13.338471,11.377782,1.2079023,,,
665757593450097920,127.57872099903399,22.235919642753675,2.876424053256189,-14.262371880582663,1.2335950523616592,47.390236,11.435231,11.714367,10.993214,1.1001163,5984.184,4.2261,-0.2029
666427539629086976,129.68943839613348,23.68524446703721,28.37571220384387,-47.495264659551744,-148.50222449267642,6.2783246,6.7626004,7.0338697,6.3261614,0.97599405,6026.558,4.2988,-0.1312
684992690384102528,134.7188775848426,21.074751903570448,35.92981056975783,175.74002157886275,-318.3322241346426,14.088929,12.715983,14.095941,11.561552,1.301282,,,
733540939112687104,166.11812107098916,30.45857072121059,18.046459963913044,-163.211307646782,-40.48802536909255,-11.829331,13.899928,15.492147,12.679839,1.0486816,,,
761300339243646848,167.23291372317877,34.303009262312976,16.068497315058774,-8.939683905351895,-40.73483890244305,28.885342,8.818791,9.152212,8.313264,1.0279319,5613.2134,4.3826,-0.1548
778052193462283648,164.77733085853689,40.98372184996786,22.346482786705348,214.72683784034737,25.64135614088716,-24.391594,8.101935,8.41999,7.6060634,1.0935762,5636.447,4.4111,-0.5288
784983789642216320,169.8248787601224,44.98907613216423,11.164179600213345,47.47370733734019,-15.547611072786037,6.0529675,11.286687,11.861439,10.559817,1.2286736,4675.604,4.6258,0.4282
796185407950360192,148.3783050027284,35.5705234945256,34.99879912604358,-87.75994574280055,-177.13504162180595,9.388398,11.943314,13.247769,10.8112335,1.3322126,3187.379,4.1336,-0.8501
845335158256083584,177.843695737286,57.6406559991897,8.169064992326973,-12.0023715154493,-17.53002727950492,-26.043434,7.6187973,8.0853615,6.9884176,1.0295403,4944.016,3.0703,-0.2985
869913435026514688,111.91642873572714,24.33610522093934,14.006549548036949,-5.104265427850033,-96.09015347152982,-18.654259,10.990832,11.640628,10.222832,1.1590353,4649.1714,4.6213,0.7984
875071278432954240,117.4793682618587,27.363132695843213,44.684849211198234,-10.220145850916207,-11.23527855383033,-16.07124,6.7371826,7.0763235,6.22282,0.9908184,5641.1553,4.4179,-0.2306
951427000863064192,102.87735469442386,40.867211419900904,23.321615461390095,34.68188386145163,-122.68645636954258,11.984356,7.929907,8.284594,7.4048944,1.0115378,5592.4697,4.392,-0.2148
955758320761687680,97.19021847783753,38.9627241037441,21.2910128194264,-42.748105584726815,-53.73572876980411,-20.82253,7.711583,8.068725,7.1838646,0.98953325,5502.319,4.1982,0.1899
970354749937140736,90.62210758518228,49.86182103675996,104.95896402103264,67.38199584113659,-849.9876420561495,20.966599,12.681532,14.749702,11.34499,1.278541,,,
1004358968092652544,97.69602304387136,58.16112834050636,18.218259854179408,-30.69060465334944,-338.61232485343965,39.48652,5.609718,6.0780053,4.971718,1.2065383,4877.7285,2.9234,-0.492
1019003226022657920,140.65696231986905,50.60377794926782,15.14390290928666,56.022466253969014,10.330507964953004,3.7869616,8.828991,9.196297,8.2954645,0.9273632,5471.7866,4.3415,0.2809
1040827088726734976,130.331590389547,59.49165865053633,105.29350582131478,-260.27618577042017,-1279.5622335452344,7.132652,13.082282,15.383262,11.712082,1.2506707,,,
1048109222955337600,160.74808819566132,60.96411641573864,4.663310152148793,-23.744865509305086,-21.153728119823484,2.5373335,13.673022,14.406956,12.843064,0.99827963,4485.84,4.5978,0.5876
1070387905514406400,152.2183321272296,69.27662289178927,25.243042271321066,196.63280907996,17.627047567745635,-27.151474,10.850841,11.752573,9.911268,1.0603184,,,
1094545653447816064,120.61171261988358,64.79716057951354,16.414098887322186,103.98547386321036,52.99878299950776,-42.96552,11.725545,12.632441,10.783381,1.1018445,,,
1097091022864217472,123.39503334724414,68.57458297930226,9.20086162964338,-44.66686012141162,-49.83340506423334,-22.34886,9.58691,9.899983,9.108817,1.1020582,5782.752,4.3288,0.0393
1111639314047794944,105.4045529987421,72.41492935805954,3.0743378866283275,3.1829377947329665,-3.1388896386932967,-37.032536,11.409017,11.684148,10.9814005,1.2725457,6056.1055,4.2878,-0.0286
1159042833731813760,221.05827114266725,5.605372815756192,3.2113718368105397,13.696759831447366,-4.609754561523718,-3.855711,13.516322,13.997865,12.879202,1.0487009,4987.2837,4.5747,0.0419
1159336403336463872,222.76731815665812,5.9473622595959155,4.952759651449276,-28.609939645400036,-2.7744963107117093,-16.741198,11.955731,12.391749,11.344806,1.1516845,5307.8115,4.5476,0.4443
1193193836691820032,238.2342360753037,15.430608795965497,10.237377828427679,-57.31166375275386,-21.641038302146953,6.6801343,7.2039623,7.706315,6.5390286,1.0302562,4878.43,3.2134,0.0455
1208695640675619584,230.9612451438866,17.460359765121662,89.12839436515914,-391.91863369696966,-1259.296213895556,42.135296,12.195167,13.988167,10.920402,1.4869673,3071.262,5.0428,-0.1304
1220404653534258816,239.39649360413006,26.8776086454839,13.492248317949882,-77.71616102156807,-60.97068267578109,,3.7562327,4.4172277,3.0029533,1.0923059,,,
1242084170974175232,218.27662916581795,21.89468654650299,6.220461240162806,29.427628907231075,-6.864295708466052,-5.2097735,9.652651,9.875159,9.270212,1.232693,6477.4204,4.2189,-0.4257
1291955578869575552,226.3371383455344,36.78698057800429,9.184334813709128,-48.95102035340876,42.64735363540009,-6.038313,14.648687,16.013645,13.499988,1.1020043,3475.9446,4.5818,-0.3591
1323427759184545536,240.26003097651244,33.30007876899923,57.107641921520774,-198.27831508830613,-772.2452745156925,17.878246,5.2328,5.553617,4.7546616,1.0011556,5708.916,4.207,-0.6841
1363205856494897024,266.92309987924295,47.7050576057025,4.399970282791418,-0.90951257165677,64.92994327206917,-83.29685,15.30603,16.459835,14.224866,1.3755177,,,
1411707818360668416,247.54964194708808,49.895793014169804,2.0266253318050467,-3.8919173095640485,14.545566702524898,-17.272135,11.78225,12.034993,11.374151,0.8457882,6197.65,4.1519,-0.0667
1416050859226670848,261.3495639244737,52.790465183478126,37.01769999327281,-90.67806333126836,-49.70173053627702,13.435332,6.320388,6.6227636,5.8441243,0.96956354,5754.2856,4.2531,-0.6166
1418519292895059840,268.4181194068629,56.39248662172002,14.75543372303079,-75.73388021181196,119.47923151659754,-10.054307,7.8240733,8.197497,7.2826066,1.0415772,5380.6704,4.103,-0.0123
1420011162670761600,257.9549498061164,54.52787766283209,21.16674086701745,-61.53269447549262,211.2573783403277,-20.638384,12.981483,14.237362,11.874976,1.3013114,,,
1424011082893734272,246.69203834502113,51.04113442310046,1.7041715271840872,-5.595209370289635,11.906040843666094,-30.1463,12.810718,13.099881,12.358817,1.0042801,5903.319,4.1877,-0.1756
1428427236986209024,246.35588833281682,54.30333866560462,154.35026839246862,432.2302358898869,-171.6519267889513,-13.3674,9.139769,10.345348,8.049889,1.0494165,3453.4927,4.9103,-0.3124
1433062331332673792,258.2232523756654,57.19777779104779,12.676298603445835,-70.97370861710154,-0.08504055816009741,-3.4117482,10.727927,11.213188,10.078853,0.95707417,4992.1484,4.6098,-0.0955
1446584503287858560,200.16468837335069,24.648465258835454,8.120393913691041,-14.321544177845983,-52.25240159314896,-6.739653,7.6213856,8.114366,6.966297,1.0628726,4771.5757,3.0114,-0.2045
1480314599451475712,217.68477209291817,35.45463422490745,44.4382629720579,-482.4323123406405,203.56950916493543,-19.542046,8.342081,8.901905,7.633268,10.080828,,,
1505890751741673856,211.09393131582615,46.51927876816492,8.779636542744472,-27.201692100996315,-27.069011565296226,25.019438,11.069064,11.51148,10.464257,1.0209526,5067.847,4.5385,-0.0238
1506159170017461888,213.1438544482175,47.0147841152538,2.8705094191000224,-29.6208761137052,11.127043510073328,-34.506905,12.963092,13.382845,12.386662,1.0933552,5228.236,4.4687,0.3661
1510191594552968832,206.09401017795037,48.0285617144269,7.41592023148546,-19.619094503099316,-23.972689438738414,-23.306894,11.278651,11.739968,10.6622095,0.9482543,5164.3457,4.5727,0.5399
1545570133528453888,184.90162876935662,48.683293500666494,2.6052369035522034,-42.98546880689063,28.531145659914543,,15.612313,16.50487,14.67468,1.065616,4147.3203,4.6402,0.2563
1556242405699527424,199.196190085243,49.86105975025288,7.260067568919657,-63.24076184348335,4.74989647057661,2.550507,11.594842,12.069358,10.963254,0.852108,4973.2905,4.5535,0.2158
1560676770454324224,208.45875707252722,52.60276007079844,24.37732949623192,108.54624747900883,-19.280524458833007,-14.692584,13.98809,15.581227,12.767606,1.3069053,3012.5999,4.3223,-0.727
1562935820172427392,201.37482457141923,52.768104839142886,2.381436280036738,-8.895472693606035,8.650271798812444,7.452964,11.687243,11.9569645,11.258775,0.8801612,6028.348,4.0884,-0.3398
1584088431025057792,185.7438361631177,64.03248298122433,54.44735322749599,-673.1157390294371,373.31127424004893,8.916901,10.552364,11.82523,9.429114,1.4072167,3243.4312,4.1747,-0.6699
1594127865540229888,224.22760887352854,53.3809225662555,14.175550114221503,-14.122285955868662,-280.3304748938607,-37.79661,8.290873,8.613576,7.7949443,1.0862737,5664.1123,4.2372,-0.1715
1603662211901473408,217.15545885405712,49.8446422809974,10.589485564567772,-303.94255395778237,-46.836337532020735,-7.959654,5.337401,5.791595,4.7096267,0.9989143,5650.342,2.9045,-0.0762
1629404184289170688,243.48885622224878,63.53350564443888,8.809122445028724,8.601584029853747,-172.8389418321789,-46.072655,9.196317,9.470726,8.752042,0.9038434,5956.688,4.1106,-0.5441
1631084478574318976,258.09666811563716,63.35280501779812,27.675594010817612,-1.8786151505565876,160.42870960150654,-21.046658,7.8772635,8.260101,7.326071,1.1566659,5346.353,4.4408,0.0198
1635108588053258752,249.69662693567133,64.55919595967318,5.770014216158159,-39.85712329297279,107.90230706172196,-34.15429,11.472958,11.84292,10.934721,0.89576423,5554.02,4.5315,-0.0336
1649087121757063040,256.2795368244606,69.51908374842753,9.736704604572946,-56.27155569221076,-66.57788693854711,-34.604862,11.672102,12.252415,10.949931,1.0066524,4667.2026,4.5918,0.0455
1651911084230149248,259.0172495576666,72.16118122372274,6.022443695354484,-6.006947424445342,4.922663240872902,-11.250333,9.823196,10.074674,9.414498,1.0684243,6203.5215,4.2103,-0.1873
1652137995942479744,259.2545612659044,72.74702821319059,8.749928251757456,47.73145470719187,36.75574149648619,-17.944397,14.389025,15.513791,13.337693,1.0617285,3753.0447,4.7536,-0.0989
1676282377934772608,195.44379543261408,63.61033145834716,27.625346375217163,-173.34232184470318,24.84979791113281,-14.930062,5.916535,6.119686,5.55876,1.0750152,6588.255,4.1253,-0.3524
1678074272650459008,197.99653234194002,65.83369379432382,27.74003160483277,-150.55739771606193,-25.3390662343902,-41.793205,12.1102085,13.247759,11.051079,1.2267437,,,
