# Source: NASA Exoplanet Archive, Table: pscomppars, Downloaded: 2025-07-22T12:47:51.984918 UTC
pl_name,hostname,sy_dist,ra,dec,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_rad,discoverymethod,disc_year,pl_orbsmax,pl_orbeccen,pl_insol,pl_dens,gaia_id,sy_vmag,sy_kmag,sy_umag,sy_gmag,sy_rmag,sy_imag,pl_massj,pl_radj,pl_orbincl,pl_orblper,st_mass,st_met,st_logg,st_age,sy_dist2,sy_plx,sky_coord.ra,sky_coord.dec
TIC 279401253 c,TIC 279401253,285.584,57.6572277,-15.0262251,12.6,2548.98382414,155.3,,5951.0,1.06,Transit,2023,0.591,0.254,,7.0,Gaia DR2 5110565749968529024,11.938,10.345,,,,,,1.12,90.0,120.9,1.13,0.2,4.438,1.2,285.584,3.47298,57.6572277,-15.0262251
Kepler-1263 b,Kepler-1263,664.83,286.483626,46.7526182,1.14,1.55,4.55139967,907.0,5213.0,0.8,Transit,2016,0.0499,0.0,144.813,5.75,Gaia DR2 2130550520397270016,15.173,13.08,,15.668,14.946,14.764,,0.10170399,88.98,,0.84,-0.03,4.56,4.9,664.83,1.47547,286.483626,46.7526182
HD 155193 b,HD 155193,57.7995,257.4208876,10.0381003,14.0,238.37130525,352.65,,6239.0,1.76439,Radial Velocity,2021,1.04,0.21,,0.477,Gaia DR2 4443815297524544000,7.0092,5.715,,,,,,1.25,0.7112,62.88,1.221,0.05,4.26,,57.7995,17.2723,257.4208876,10.0381003
HIP 67522 c,HIP 67522,127.28,207.526001,-40.8358961,7.93595834,48.3,14.334892,917.0,5675.0,1.38,Transit,2024,0.1228,0.077,,0.531,Gaia DR2 6113920619134019456,9.79,8.164,,10.83,,,,0.708,89.2,186.6,1.22,0.0,4.438,0.017,127.28,7.8288,207.526001,-40.8358961
Kepler-555 b,Kepler-555,973.121,285.516872,38.9324587,2.83,8.4,16.21775407,664.0,5894.0,1.04,Transit,2016,0.1201,0.0,129.374,2.04,Gaia DR2 2100232689851871488,14.448,12.633,15.8755,14.5892,14.1013,13.9415,,0.25247569,89.21,,1.03,0.0,4.42,3.89,973.121,0.998927,285.516872,38.9324587
Kepler-302 c,Kepler-302,1402.58,294.3169307,43.6292436,12.45,,127.282184,392.0,5740.0,1.22,Transit,2014,0.503,0.0,4.585,,Gaia DR2 2078195212660287616,15.694,13.9,,16.016,15.46,15.286,,1.111,89.51,,1.021,0.16,4.286,4.47,1402.58,0.685099,294.3169307,43.6292436
Kepler-354 d,Kepler-354,554.064,285.7515347,41.3356739,1.24,2.07,24.209842,451.0,4648.0,0.674,Transit,2014,0.146,0.0,8.949,5.97,Gaia DR2 2103860562828483712,15.771,13.16,,16.513,15.494,15.135,,0.111,89.38,,0.652,-0.03,4.627,13.8,554.064,1.77633,285.7515347,41.3356739
Kepler-1342 b,Kepler-1342,890.724,297.0200549,43.4325382,1.66,3.39,2.215710358,1283.0,5527.0,0.9,Transit,2016,0.0313,0.0,559.275,4.07,Gaia DR2 2078752149661192832,15.726,13.531,,16.056,15.325,15.108,,0.14809528,82.3,,0.93,0.03,4.51,4.37,890.724,1.09517,297.0200549,43.4325382
HD 18015 b,HD 18015,123.801,43.3636339,-8.8480392,13.1,1048.8337431,2278.0,,5603.0,3.13,Radial Velocity,2018,3.87,0.148,,2.56,Gaia DR2 5173468908975401856,7.89,6.204,,,,,3.3,1.17,69.0,265.0,1.49,-0.14,3.64,,123.801,8.04905,43.3636339,-8.8480392
Kepler-103 b,Kepler-103,494.832,288.9845512,40.0644857,3.486,9.8,15.9653287,973.0,6009.0,1.492,Transit,2014,0.13223,0.093,149.9,1.28,Gaia DR2 2101243789577188736,11.883,10.873,,12.649,12.214,12.132,0.0308342482426374,0.31100062,87.914,,1.212,0.16,4.16,6.03,494.832,1.9923,288.9845512,40.0644857
tau Cet h,tau Cet,3.60304,26.0093029,-15.9337987,1.19,1.83,49.41,,5310.0,0.83,Radial Velocity,2017,0.243,0.23,,5.97,Gaia DR2 2452378776434276992,3.49607,1.794,,,,,,0.106,,7.45,0.783,-0.52,4.52,12.12,3.60304,277.516,26.0093029,-15.9337987
Kepler-201 b,Kepler-201,636.445,293.626059,41.2728004,2.46,6.62,25.672083,683.0,6065.0,1.229,Transit,2014,0.175,0.0,64.549,2.44,Gaia DR2 2077386315701921920,12.991,11.737,,13.312,12.958,12.872,,0.219,87.2,,1.098,-0.0442,4.294,4.07,636.445,1.54279,293.626059,41.2728004
OGLE-2013-BLG-1761L b,OGLE-2013-BLG-1761L,6900.0,268.409485,-28.8952713,13.2,860.0,,,,,Microlensing,2018,1.8,,,2.05,,,,,,,,2.7,1.18,,,0.33,,,,6900.0,,268.409485,-28.8952713
EPIC 212737443 c,EPIC 212737443,336.25,204.2215065,-7.3180577,2.69,7.7,65.55,316.0,4684.0,0.673,Transit,2019,0.28,0.2,,2.17,Gaia DR2 3630680754621236096,14.81,12.16,,,,,,0.23998573,89.63,,0.69,-0.137,4.622,,336.25,2.94582,204.2215065,-7.3180577
Kepler-1723 b,Kepler-1723,811.278,294.4627362,46.8214022,2.88046569,8.65,39.75289917,568.0,6072.0,1.01,Transit,2021,0.2249,0.0,24.54,1.99,Gaia DR2 2128157158464165504,14.383,12.849,,14.738,14.248,14.102,,0.25697838,89.96,,0.96,-0.3,4.411,3.3,811.278,1.20389,294.4627362,46.8214022
Kepler-990 c,Kepler-990,802.163,297.9381813,46.8813194,1.53,2.96,0.538354308,2386.0,5948.0,1.08,Transit,2016,0.01232,0.0,5272.4,4.54,Gaia DR2 2086302805244921984,14.716,12.928,,14.987,14.457,14.289,,0.13649746,82.87,,1.05,0.01,4.39,3.55,802.163,1.21805,297.9381813,46.8813194
Kepler-272 d,Kepler-272,889.608,299.1275257,47.5938319,2.25,5.69,10.937304,777.0,5297.0,0.929,Transit,2014,0.091,0.0,141.135,2.74,Gaia DR2 2085701097508446464,14.811,12.708,,15.348,14.622,14.391,,0.201,86.63,,0.91,0.04,4.426,13.18,889.608,1.09547,299.1275257,47.5938319
Kepler-814 b,Kepler-814,2055.77,284.9105256,48.4315896,2.12,5.14,6.1469851,1164.0,6162.0,1.22,Transit,2016,0.0695,0.0,935.124,2.96,Gaia DR2 2131593269736776576,14.859,13.418,,15.055,14.66,14.557,,0.18913373,89.67,,1.15,0.01,4.33,3.02,2055.77,0.456804,284.9105256,48.4315896
Kepler-1802 c,Kepler-1802,636.694,300.2420869,44.1412854,2.322,6.0,33.13610077,357.0,4245.0,0.637,Transit,2021,0.1748,0.0,3.86,2.63,Gaia DR2 2076053604520641024,15.905,12.397,,16.819,15.608,15.181,,0.20715532,88.87,,0.649,0.0,4.641,13.9,636.694,1.55423,300.2420869,44.1412854
Kepler-1175 b,Kepler-1175,1121.89,289.1426847,46.8129656,2.99,9.22,37.94563,515.0,5453.0,0.86,Transit,2016,0.2181,0.0,12.938,1.9,Gaia DR2 2127781228564883456,15.972,14.149,,16.466,15.895,15.713,,0.26674993,89.79,,0.9,-0.04,4.53,4.17,1121.89,0.863916,289.1426847,46.8129656
K2-95 b,K2-95,179.854,129.3625717,18.9766197,3.31,11.0,10.1346454,474.0,3566.0,0.4,Transit,2016,0.0525,0.16,,1.67,Gaia DR2 659744295638254336,17.236,12.474,20.7051,18.0246,16.6346,15.3698,,0.29529893,90.0,-2.0,0.41,0.1,4.85,0.79,179.854,5.53519,129.3625717,18.9766197
Kepler-956 b,Kepler-956,544.939,292.5308289,49.0616555,3.0,9.27,5.248672631,1056.0,6040.0,1.15,Transit,2016,0.06017,0.0,307.058,1.89,Gaia DR2 2129703552846891136,13.387,11.958,,13.742,13.285,13.175,,0.26764207,86.0,,1.1,0.02,4.36,3.47,544.939,1.80622,292.5308289,49.0616555
Kepler-409 b,Kepler-409,68.173,293.6792058,46.8527337,1.199,6.0,68.9583216,438.0,5421.0,0.897,Transit,2014,0.3192,0.69,6.15,19.0,Gaia DR2 2128215909315876352,9.636,7.768,,9.971,9.364,9.211,0.0188781111689617,0.1069678,86.3,,0.913,0.05,4.5,5.8,68.173,14.6396,293.6792058,46.8527337
Kepler-913 c,Kepler-913,991.618,297.5830564,41.9523531,3.8580709,14.2,5.939119816,1357.0,6068.0,1.797,Transit,2021,0.0699,0.0,122.82,1.36,Gaia DR2 2076924314661348736,15.522,13.477,,16.407,15.702,15.493,,0.34419462,89.7,,1.294,0.16,4.04,5.62,991.618,0.981103,297.5830564,41.9523531
Kepler-884 b,Kepler-884,476.733,292.5844328,49.9232012,1.23,2.04,5.69919514,964.0,5715.0,0.94,Transit,2016,0.06116,0.0,139.5,6.02,Gaia DR2 2129894833510904448,13.164,11.547,,13.476,13.018,12.895,,0.10973325,89.98,,1.0,0.05,4.49,2.45,476.733,3.0892733,292.5844328,49.9232012
HATS-48 A b,HATS-48 A,263.609,288.6720048,-59.5793505,8.9672,77.23269,3.1316666,954.6,4546.0,0.7152,Transit,2020,0.03769,0.162,137.6,0.589,Gaia DR2 6638412919991750912,14.226,11.427,,14.935,13.821,13.69,0.243,0.8,89.58,,0.7279,0.186,4.5909,11.97,263.609,3.76477,288.6720048,-59.5793505
Kepler-289 b,Kepler-289,704.438,297.4653351,42.8828517,2.49,3.7,34.5383,607.0,5990.0,1.0,Transit,2014,0.21183,0.0,27.371,1.45,Gaia DR2 2078515170549178880,14.142,12.508,,14.403,13.921,13.764,0.0116415018875264,0.2221433,88.98,,1.08,0.05,4.47,0.65,704.438,1.39093,297.4653351,42.8828517
HAT-P-44 b,HAT-P-44,347.85,213.1438604,47.0147826,13.922,111.871,4.301219,1108.0,5295.0,0.949,Transit,2014,0.0507,0.044,185.119,0.23,Gaia DR2 1506159170017461888,13.225,11.275,15.968,14.2829,13.0495,12.9233,0.352,1.242,89.1,113.0,0.942,0.33,4.46,7.5,347.85,2.84594,213.1438604,47.0147826
TOI-1634 c,TOI-1634,35.2736,56.3906096,37.1122803,,,103.0,,3472.0,0.45,Radial Velocity,2022,,0.0,,,Gaia DR2 223158499179138432,13.217,8.6,,,,,,,,90.0,0.451,0.19,4.787,,35.2736,28.321,56.3906096,37.1122803
HATS-42 b,HATS-42,800.377,108.4523991,-33.4373462,15.6926,597.5204,2.292102,1856.0,6060.0,1.48,Transit,2018,0.03689,0.229,1637.2058,0.83,Gaia DR2 5603100779728361088,13.682,12.245,,13.922,13.498,13.396,1.88,1.4,85.1,,1.273,0.22,4.201,3.26,800.377,1.2207,108.4523991,-33.4373462
Kepler-1806 b,Kepler-1806,978.066,287.5349528,49.8016283,2.35560189,6.15,9.033320427,729.0,5311.0,0.788,Transit,2021,0.0813,0.0,66.89,2.59,Gaia DR2 2132842177507335424,16.173,14.039,,16.583,15.865,15.609,,0.21015309,88.82,,0.884,-0.04,4.588,0.6,978.066,0.994354,287.5349528,49.8016283
Kepler-278 b,Kepler-278,443.03,290.1072124,38.7022694,4.07,15.6,30.160546,836.0,4991.0,2.935,Transit,2014,0.207,0.04,99.265,1.27,Gaia DR2 2052881912366613376,11.811,9.465,15.9125,14.8048,12.7369,13.2031,,0.363,87.47,,1.414,0.2713,3.616,3.72,443.03,2.2289,290.1072124,38.7022694
Kepler-1907 b,Kepler-1907,292.111,280.7085829,47.3279236,0.86973029,0.589,5.652450085,856.0,5159.0,0.8,Transit,2021,0.05444,0.0,75.0,4.92,Gaia DR2 2119409512668086656,13.989,11.726,,14.424,13.691,13.465,,0.07759227,85.0,,0.752,-0.16,4.508,14.0,292.111,3.39447,280.7085829,47.3279236
TOI-260 b,TOI-260,20.1852,4.7730178,-9.9661505,1.71,4.23,13.475853,493.0,4026.0,0.607,Transit,2024,0.0943,0.0,10.1838,4.66,Gaia DR2 2428162410789155328,9.9,6.549,14.7782,10.7354,13.2196,8.85384,0.013309068374118,0.15255624,88.84,90.0,0.616,-0.47,4.45,15.9,20.1852,49.5123,4.7730178,-9.9661505
Kepler-1920 b,Kepler-1920,885.913,291.0620355,38.8632881,2.95415848,9.03,30.2541008,660.0,6277.0,1.161,Transit,2021,0.2043,0.0,44.87,1.92,Gaia DR2 2052942900903300352,14.392,12.908,16.0311,14.6849,14.2558,14.1167,,0.26355282,89.94,,1.239,0.21,4.402,,885.913,1.10016,291.0620355,38.8632881
TOI-559 b,TOI-559,233.266,46.8186159,-31.1629951,12.22899794,1910.14872607,6.9839095,1180.0,5925.0,1.233,Transit,2021,0.0723,0.151,404.915,5.74,Gaia DR2 5057924844082070016,11.091,9.638,,,,,6.01,1.091,89.08,-62.3,1.026,-0.069,4.268,6.8,233.266,4.25819,46.8186159,-31.1629951
HD 30669 b,HD 30669,58.0844,72.1198522,-28.4190757,14.3,149.37,1684.0,,5400.0,0.91,Radial Velocity,2014,2.69,0.18,,0.281,Gaia DR2 4880032624440826112,9.12,7.329,,,,,,1.27,,82.0,0.92,0.13,4.37,4.8,58.0844,17.1874,72.1198522,-28.4190757
TOI-1174 b,TOI-1174,94.6375,209.2171751,68.6182106,2.562,32.0,8.953487683,713.83,5030.0,0.76,Transit,2024,0.07994,0.0,52.02,11.0,Gaia DR2 1674293361400214272,10.964,8.964,,,,,0.100683259567796,0.22856672,,90.0,0.85,-0.002,4.573,2.7,94.6375,10.5378,209.2171751,68.6182106
WASP-66 b,WASP-66,500.258,158.2250301,-34.9899074,15.6926,746.9005,4.08605,1569.7,6600.0,1.76,Transit,2012,0.0546,0.0,1434.7739,1.144,Gaia DR2 5444147952811517696,11.605,10.452,,,,,2.35,1.4,85.9,,1.33,-0.31,4.3,3.7,500.258,1.9717,158.2250301,-34.9899074
Kepler-275 b,Kepler-275,2034.25,292.4797004,38.5149018,2.34,6.08,10.300682,1015.0,6165.0,1.383,Transit,2014,0.098,0.0,266.3,2.61,Gaia DR2 2051950454223150720,15.289,13.957,,15.679,15.231,15.165,,0.209,89.99,,1.189,0.08,4.229,3.39,2034.25,0.463993,292.4797004,38.5149018
Kepler-9 b,Kepler-9,628.257,285.5739904,38.4008192,8.29,43.4,19.23891,661.0,5774.0,0.958,Transit,2010,0.143,0.0609,48.229,0.42,Gaia DR2 2099925719951103872,13.922,12.337,15.9848,14.941,15.5515,14.3425,0.136550986376365,0.73958426,88.982,357.0,1.022,0.05,4.49,2.0,628.257,1.56294,285.5739904,38.4008192
AB Pic b,AB Pic,50.0475,94.8039208,-58.0541184,12.3,4290.5,,,5285.0,0.999394,Imaging,2005,260.0,,,12.7,Gaia DR2 5495052596695570816,9.13,6.981,,,,,13.5,1.1,,,0.9,0.04,4.53,0.03,50.0475,19.9521,94.8039208,-58.0541184
HIP 65426 b,HIP 65426,108.875,201.1501727,-51.5045384,16.8135,2860.47,,1500.0,8840.0,1.77,Imaging,2017,92.0,,,3.31,Gaia DR2 6070080754075553792,7.01,6.771,,,,,9.0,1.5,,,1.96,,4.32114,0.014,108.875,9.15662,201.1501727,-51.5045384
K2-45 b,K2-45,495.317,169.6327547,-1.7740582,6.71,36.4,1.7292684,1073.56,4103.0,0.445,Transit,2016,0.0224,0.1,100.0,0.662,Gaia DR2 3790858845506203264,15.746,12.756,,,,,,0.5986261,87.75,59.61,0.503,,4.824,,495.317,1.99067,169.6327547,-1.7740582
OGLE-2012-BLG-0406L b,OGLE-2012-BLG-0406L,4970.0,268.325708,-30.4711667,13.2,868.0,,,,,Microlensing,2013,3.45,,,2.07,,,,,,,,2.73,1.18,,,0.44,,,,4970.0,,268.325708,-30.4711667
HD 96700 b,HD 96700,25.4111,166.9742616,-30.1751383,2.93,8.9,8.1245,,5845.0,1.16,Radial Velocity,2021,0.0777,0.138,,1.94,Gaia DR2 5452492082132835840,6.51,4.995,,,,,,0.261,,,0.89,-0.18,4.39,8.6,25.4111,39.3239,166.9742616,-30.1751383
POTS-1 b,POTS-1,747.959,203.6087259,-66.5811639,10.548,734.16,3.1606296,,4400.0,0.588,Transit,2013,0.03734,,,3.44,Gaia DR2 5851616143098057472,17.9083,14.244,,,,,2.31,0.941,88.06,,0.695,-0.03,4.63,,747.959,1.31575,203.6087259,-66.5811639
Kepler-289 d,Kepler-289,704.438,297.4653351,42.8828517,3.03,5.33,66.0282,,5990.0,1.0,Transit,2014,0.33,,,1.14,Gaia DR2 2078515170549178880,14.142,12.508,,14.403,13.921,13.764,0.016770055421761,0.27031896,89.31,,1.08,0.05,4.47,0.65,704.438,1.39093,297.4653351,42.8828517
75 Cet c,75 Cet,82.9613,38.0391598,-1.0350269,13.9,289.85950718,2051.62,,4809.0,10.38,Radial Velocity,2023,3.929,0.023,,0.593,Gaia DR2 2500064286492779264,5.3532,3.207,,,,,,1.24,,123.0,1.92,0.1,2.69,,82.9613,12.0264,38.0391598,-1.0350269
Kepler-1966 b,Kepler-1966,484.601,292.4637788,41.2990438,1.10479327,1.39,8.617429733,733.0,5009.0,0.84,Transit,2021,0.0763,0.0,68.28,5.66,Gaia DR2 2053614049674000512,15.222,12.643,,15.496,14.743,14.488,,0.09856322,89.86,,0.797,0.16,4.491,,484.601,2.03746,292.4637788,41.2990438
Kepler-113 c,Kepler-113,262.351,287.9978721,50.9441847,2.18,8.7,8.92507,628.0,4725.0,0.69,Transit,2014,0.07796,0.0,45.596,0.308247,Gaia DR2 2133369840008452224,13.655,11.255,,14.31,13.399,13.097,0.0273731239971054,0.194,87.69,,0.75,0.05,4.636,6.89,262.351,3.78279,287.9978721,50.9441847
HATS-64 b,HATS-64,1080.15,144.2876092,-29.800444,18.819911,305.1168,4.908897,1793.0,6554.0,2.113,Transit,2018,0.06562,0.151,1711.0,0.245,Gaia DR2 5632704511826797824,13.045,11.705,,13.13,12.813,12.763,0.96,1.679,87.24,,1.564,0.22,3.982,1.861,1080.15,0.897203,144.2876092,-29.800444
Kepler-1314 b,Kepler-1314,141.98685057,294.2373599,45.1968274,5.11,22.9,5.424749281,625.0,4188.0,0.59,Transit,2016,0.0504,0.0,36.05,0.943,Gaia DR2 2079920724360946560,17.816,13.22,,17.233,16.375,16.05,,0.45588366,89.98,,0.6,-0.22,4.68,6.03,141.98685057,7.0429057,294.2373599,45.1968274
Kepler-1932 b,Kepler-1932,713.733,285.3314903,41.0638435,1.51482218,2.91,0.524177015,1891.0,5278.0,0.815,Transit,2021,0.0123,0.0,2799.9,4.6,Gaia DR2 2103829913941569664,15.286,13.149,,15.715,14.96,14.751,,0.13514362,86.42,,0.911,0.14,4.576,1.45,713.733,1.37261,285.3314903,41.0638435
HD 90156 b,HD 90156,21.9496,155.9801144,-29.645103,4.43,17.98,49.77,,5599.0,0.920286,Radial Velocity,2009,0.25,0.31,,1.14,Gaia DR2 5461620846141553024,6.92,5.245,,,,,,0.395,,113.0,0.84,-0.24,4.48,4.4,21.9496,45.5299,155.9801144,-29.645103
TOI-6008 b,TOI-6008,23.1008,310.4487344,49.6468992,1.03,4.0,0.8574347,707.0,3075.0,0.242,Transit,2024,0.010777,,41.5,,Gaia DR2 2168280502430898944,15.97,9.541,,,,,0.0125854074459745,0.0918906,87.2,,0.23,0.3,5.01,3.0,23.1008,43.2596,310.4487344,49.6468992
Kepler-856 b,Kepler-856,1351.17,289.6038379,46.3149097,9.3,63.3,8.027680595,824.0,5535.0,0.93,Transit,2016,0.0787,0.0,153.497,0.432,Gaia DR2 2127698215436676864,15.594,13.905,,16.182,15.499,15.307,,0.82969043,88.52,,0.96,0.12,4.49,4.27,1351.17,0.711619,289.6038379,46.3149097
NGTS-3 A b,NGTS-3 A,743.972,94.4447595,-35.706364,16.58932,756.4354,1.6753728,1434.44,5600.0,0.93,Transit,2018,0.023,,1000.5679,0.31,Gaia DR2 2885350546895266432,14.669,12.814,,15.002,14.423,14.252,2.38,1.48,89.56,,1.017,0.12,4.44807,,743.972,1.31535,94.4447595,-35.706364
TOI-1601 b,TOI-1601,336.608,38.361569,41.0134321,14.19902343,387.0,5.33175,1493.97,5982.0,2.195,Transit,2021,0.069,0.0,1071.42,0.74,Gaia DR2 338382713564401920,10.66,9.191,,,,,1.21763817039803,1.2667542,88.84,90.0,1.5055,0.343,3.928,2.4,336.608,2.94419,38.361569,41.0134321
Kepler-666 b,Kepler-666,1508.71,298.4568899,48.7915925,2.4,6.35,4.49876092,1133.0,5887.0,1.05,Transit,2016,0.0542,0.0,575.644,2.52,Gaia DR2 2086935024430952960,15.422,13.807,,15.874,15.335,15.19,,0.21411366,88.0,,1.03,0.01,4.41,3.8,1508.71,0.634662,298.4568899,48.7915925
Kepler-83 b,Kepler-83,400.409,282.2325197,43.6655662,2.83,2.94,9.77,460.0,4082.0,0.61,Transit,2012,0.07295,0.0,15.412,0.83,Gaia DR2 2105261134483173632,16.145,12.947,,17.074,15.764,15.221,0.00925027447279122,0.252,89.84,,0.66,-0.2,4.69,3.09,400.409,2.46907,282.2325197,43.6655662
Kepler-388 b,Kepler-388,425.0,284.8280577,44.6086451,0.81,0.457,3.173315,830.0,4498.0,0.586,Transit,2014,0.036,0.0,112.21,4.73,Gaia DR2 2106711424679833984,15.218,12.544,,15.989,14.934,14.566,,0.072,89.62,,0.635,0.0,4.69,13.9,425.0,1.6358009,284.8280577,44.6086451
HD 212771 b,HD 212771,111.155,336.762413,-17.2641046,13.3,759.6137,380.7,,5003.0,5.27,Radial Velocity,2009,1.19,0.076,,1.77,Gaia DR2 2595360569884153728,7.6,5.496,,,,,,1.18,,29.0,1.56,-0.21,3.31,6.0,111.155,8.96785,336.762413,-17.2641046
Kepler-1216 b,Kepler-1216,1258.36,287.4052661,45.917979,1.39,2.51,4.37034536,1191.0,5743.0,0.98,Transit,2016,0.0519,0.0,415.553,5.14,Gaia DR2 2130309796070517888,15.262,13.613,,15.607,15.08,14.929,,0.12400749,89.55,,0.99,0.03,4.46,4.07,1258.36,0.766115,287.4052661,45.917979
HD 147018 c,HD 147018,40.4256,245.7490012,-61.6901291,12.7,2080.0,1008.0,,5441.0,0.937948,Radial Velocity,2009,1.922,0.133,,5.58,Gaia DR2 5831054382288870912,8.3,6.571,,,,,,1.13,,-133.1,0.927,0.1,4.42,6.36,40.4256,24.7079,245.7490012,-61.6901291
Kepler-55 c,Kepler-55,578.796,285.1683291,44.0264898,2.21,69.8,42.1516418,349.0,4362.0,0.58,Transit,2012,0.2095,0.0,3.84,35.5,Gaia DR2 2105930840143687680,15.746,13.289,,16.82,15.719,15.35,0.22,0.197,89.96,,0.62,-0.01,4.7,2.34,578.796,1.69932,285.1683291,44.0264898
Kepler-1754 b,Kepler-1754,718.945,295.4570818,50.0771838,2.43996509,6.53,8.195949554,672.0,4723.0,0.747,Transit,2021,0.0718,0.0,48.2,2.47,Gaia DR2 2134972275129562752,16.007,13.438,,16.797,15.782,15.455,,0.21767948,89.34,,0.734,0.08,4.557,,718.945,1.36346,295.4570818,50.0771838
TIC 4672985 b,TIC 4672985,253.385,38.4706782,-10.6573827,11.5004142,4049.13390518,69.048,517.2,5757.0,1.15,Transit,2024,0.33,0.018,,14.6,Gaia DR2 5172202413314737152,11.501,9.97,,,,,12.74,1.026,,126.3,1.01,0.14,4.32,7.71,253.385,3.91792,38.4706782,-10.6573827
Kepler-1387 b,Kepler-1387,455.358,292.4403029,43.2093456,0.93,0.749,2.279526656,1123.0,5046.0,0.77,Transit,2016,0.031,0.0,300.312,5.12,Gaia DR2 2125871960984455552,14.727,12.514,,15.368,14.532,14.256,,0.08296904,89.83,,0.82,0.02,4.58,4.37,455.358,2.16738,292.4403029,43.2093456
KMT-2018-BLG-1988L b,KMT-2018-BLG-1988L,4150.0,265.2825417,-35.5947,2.22,5.56,,,,,Microlensing,2022,3.09,,,2.79,,,,,,,,0.0174937163499045,0.198,,,0.47,,,,4150.0,,265.2825417,-35.5947
Kepler-416 c,Kepler-416,690.819,291.5569554,39.2272923,2.352,6.13,12.209,791.0,5718.0,1.075,Transit Timing Variations,2014,0.10454,0.0,93.072,2.59,Gaia DR2 2052975370856687744,14.166,12.51,,14.509,13.977,13.822,,0.20983175,86.99,,1.0,0.1259,4.42,2.69,690.819,1.41892,291.5569554,39.2272923
Kepler-394 b,Kepler-394,1058.72,296.3019792,50.6723115,1.6,3.19,8.005013,1035.0,6402.0,1.132,Transit,2014,0.083,0.0,164.78,4.28,Gaia DR2 2135378231142791808,14.948,13.384,,15.172,14.741,14.626,,0.143,89.83,,0.87,-0.3,4.408,0.25,1058.72,0.916013,296.3019792,50.6723115
Kepler-608 b,Kepler-608,946.683,293.882901,44.6380717,3.64,12.9,6.412515037,1069.0,5820.0,1.01,Transit,2016,0.0685,0.0,270.162,1.47,Gaia DR2 2078399790542181376,14.84,13.077,,15.185,14.646,14.469,,0.32473905,86.11,,1.0,-0.02,4.43,3.8,946.683,1.02775,293.882901,44.6380717
Kepler-842 b,Kepler-842,532.726,292.3285976,49.6535171,1.6,3.19,1.21956827,1252.0,4848.0,0.73,Transit,2016,0.0204,0.0,588.95,4.28,Gaia DR2 2129861435845006208,15.363,12.913,,15.961,15.059,14.77,,0.14274244,89.37,,0.78,-0.02,4.6,4.37,532.726,1.84875,292.3285976,49.6535171
Kepler-185 c,Kepler-185,466.735,282.4681674,43.8899464,2.02,4.74,20.729042,530.0,5208.0,0.806,Transit,2014,0.139,0.0,16.029,3.16,Gaia DR2 2105316247502568576,14.562,12.515,,15.127,14.393,14.172,,0.18,89.34,,0.763,-0.14,4.545,11.9,466.735,2.11386,282.4681674,43.8899464
HD 86081 b,HD 86081,103.936,149.0243714,-3.8083543,13.6,470.3884,2.1378431,,5939.0,1.46,Radial Velocity,2006,0.0346,0.0119,,1.03,Gaia DR2 3823126385045210880,8.73,7.299,,,,,,1.21,,3.0,1.21,0.22,4.18,3.61,103.936,9.5928,149.0243714,-3.8083543
Kepler-714 b,Kepler-714,2083.37,282.6994685,43.2727437,9.67,67.6,8.098887986,986.0,5995.0,1.12,Transit,2016,0.0832,0.0,484.006,0.411,Gaia DR2 2105192999121723392,15.43,13.825,,15.68,15.208,15.081,,0.86269962,89.93,,1.09,0.04,4.37,3.55,2083.37,0.4506,282.6994685,43.2727437
HD 81817 c,HD 81817,269.126,144.2715659,81.3263096,12.0,7185.78245386,622.97802,,4140.0,83.8,Radial Velocity,2022,2.325,0.095,,22.9,Gaia DR2 1144716265940854016,4.26489,0.779,,,,,,1.07,,227.963,4.3,-0.17,1.3,0.15,269.126,3.71783,144.2715659,81.3263096
Kepler-1199 b,Kepler-1199,563.493,293.7258092,47.2469219,1.15,1.6,15.0447198,931.0,5889.0,1.17,Transit,2016,0.11309,0.0,131.7,5.78,Gaia DR2 2128230615282091904,13.173,11.581,,13.427,13.003,12.87,,0.10259613,89.94,,0.94,-0.27,4.27,7.76,563.493,1.7197799,293.7258092,47.2469219
Kepler-1322 c,Kepler-1322,1350.32,293.2045009,45.4353919,2.15492527,5.29,6.459980011,883.0,5704.0,0.804,Transit,2021,0.0652,0.0,144.06,2.9,Gaia DR2 2126524001437900928,15.876,14.068,,16.362,15.755,15.573,,0.19224989,86.82,,0.897,-0.3,4.575,0.4,1350.32,0.712904,293.2045009,45.4353919
Kepler-268 c,Kepler-268,851.87,291.9761559,38.0550327,3.38,11.4,83.446393,471.0,6081.0,1.274,Transit,2014,0.391,0.0,13.662,1.62,Gaia DR2 2051908157384215296,13.844,12.382,15.6097,14.4736,14.8699,13.9001,,0.302,89.97,,1.109,0.0009,4.287,1.71,851.87,1.1452,291.9761559,38.0550327
K2-217 b,K2-217,381.878,11.2983678,6.4815879,3.57854073,12.5,14.074524,,5967.0,1.333718,Transit,2018,,,,1.5,Gaia DR2 2556248536102683008,12.264,10.679,14.5392,12.9298,12.1878,11.9851,,0.31925602,88.04322,,1.102661,0.04,4.17,,381.878,2.59059,11.2983678,6.4815879
