# Source: SIMBAD, Downloaded: 2025-07-22T13:01:31.174815 UTC
M_number,name,ra,dec,type,distance_ly,apparent_magnitude
M 76,M  76,25.58189905342,51.57542638057,PN,4.683600159999999,17.479999542236328
M 76,M  76,25.58189905342,51.57542638057,PN,2433.12376,17.479999542236328
M103,M 103,23.3379,60.65370000000001,OpC,6722.075159999999,7.400000095367432
M103,M 103,23.3379,60.65370000000001,OpC,8160.4231199999995,7.400000095367432
M103,M 103,23.3379,60.65370000000001,OpC,7175.432,7.400000095367432
M103,M 103,23.3379,60.65370000000001,OpC,7475.4955199999995,7.400000095367432
M103,M 103,23.3379,60.65370000000001,OpC,7155.862639999999,7.400000095367432
M 82,M  82,148.96845833333333,69.67970277777778,AGN,10.9914572,8.40999984741211
M 82,M  82,148.96845833333333,69.67970277777778,AGN,12.6874684,8.40999984741211
M 82,M  82,148.96845833333333,69.67970277777778,AGN,11.774231599999998,8.40999984741211
M 82,M  82,148.96845833333333,69.67970277777778,AGN,11.787603996,8.40999984741211
M 82,M  82,148.96845833333333,69.67970277777778,AGN,11.774231599999998,8.40999984741211
M 82,M  82,148.96845833333333,69.67970277777778,AGN,11.513306799999999,8.40999984741211
M 82,M  82,148.96845833333333,69.67970277777778,AGN,11.513306799999999,8.40999984741211
M 82,M  82,148.96845833333333,69.67970277777778,AGN,12.6874684,8.40999984741211
M 82,M  82,148.96845833333333,69.67970277777778,AGN,12.720083999999998,8.40999984741211
M 82,M  82,148.96845833333333,69.67970277777778,AGN,15.949028399999998,8.40999984741211
M 82,M  82,148.96845833333333,69.67970277777778,AGN,16.960112,8.40999984741211
M 81,M  81,148.88821939854,69.06529514038,Sy2,15.981644,6.940000057220459
M 81,M  81,148.88821939854,69.06529514038,Sy2,11.0566884,6.940000057220459
M 81,M  81,148.88821939854,69.06529514038,Sy2,11.8394628,6.940000057220459
M 81,M  81,148.88821939854,69.06529514038,Sy2,12.6874684,6.940000057220459
M 81,M  81,148.88821939854,69.06529514038,Sy2,11.3176132,6.940000057220459
M 81,M  81,148.88821939854,69.06529514038,Sy2,11.578537999999998,6.940000057220459
M 81,M  81,148.88821939854,69.06529514038,Sy2,11.578537999999998,6.940000057220459
M 81,M  81,148.88821939854,69.06529514038,Sy2,12.067772,6.940000057220459
M 81,M  81,148.88821939854,69.06529514038,Sy2,11.7334621,6.940000057220459
M 81,M  81,148.88821939854,69.06529514038,Sy2,12.067772,6.940000057220459
M 81,M  81,148.88821939854,69.06529514038,Sy2,11.774231599999998,6.940000057220459
M 81,M  81,148.88821939854,69.06529514038,Sy2,11.774231599999998,6.940000057220459
M 81,M  81,148.88821939854,69.06529514038,Sy2,11.8720784,6.940000057220459
M 81,M  81,148.88821939854,69.06529514038,Sy2,14.024707999999999,6.940000057220459
M 81,M  81,148.88821939854,69.06529514038,Sy2,12.2960812,6.940000057220459
M 81,M  81,148.88821939854,69.06529514038,Sy2,11.741615999999999,6.940000057220459
M 81,M  81,148.88821939854,69.06529514038,Sy2,13.4050116,6.940000057220459
M102,M 102,226.62317083333332,55.76330833333333,SyG,47.944931999999994,9.890000343322754
M102,M 102,226.62317083333332,55.76330833333333,SyG,50.2932552,9.890000343322754
M102,M 102,226.62317083333332,55.76330833333333,SyG,47.143892863999994,9.890000343322754
M102,M 102,226.62317083333332,55.76330833333333,SyG,48.0101632,9.890000343322754
